id,date,meet,sess,plat,age_group_weight_category,weigh,weight_category,time,estimated_entry_totals_(min___max),gender,number_of_lifters
197,2026-03-07,2026 Virus Weightlifting Series 1,15,White,88kg & 79+kg D,10:00:00,,12:00:00,230-245,M,12
198,2026-03-07,2026 Virus Weightlifting Series 1,15,Blue,77kg & 69+kg J,10:00:00,,12:00:00,117-125,F,12
199,2026-03-07,2026 Virus Weightlifting Series 1,15,Stars,94kg G,10:00:00,,12:00:00,214-220,M,11
200,2026-03-07,2026 Virus Weightlifting Series 1,15,Stripes,110kg & 94+kg H,10:00:00,,12:00:00,205-225,M,11
201,2026-03-07,2026 Virus Weightlifting Series 1,16,Red,69kg & 63+kg D,12:00:00,,14:00:00,160-168,F,12
202,2026-03-07,2026 Virus Weightlifting Series 1,16,White,88kg & 79+kg C,12:00:00,,14:00:00,245-250,M,12
203,2026-03-07,2026 Virus Weightlifting Series 1,16,Blue,77kg & 69+kg I,12:00:00,,14:00:00,125-130,F,12
204,2026-03-07,2026 Virus Weightlifting Series 1,16,Stars,86kg & 77+kg G,12:00:00,,14:00:00,0-101,F,11
205,2026-03-07,2026 Virus Weightlifting Series 1,16,Stripes,110kg & 94+kg G,12:00:00,,14:00:00,230-240,M,11
206,2026-03-07,2026 Virus Weightlifting Series 1,17,Red,69kg & 63+kg C,14:00:00,,16:00:00,168-183,F,11
207,2026-03-07,2026 Virus Weightlifting Series 1,17,White,88kg & 79+kg B,14:00:00,,16:00:00,260-280,M,12
208,2026-03-07,2026 Virus Weightlifting Series 1,17,Blue,77kg & 69+kg H,14:00:00,,16:00:00,130-135,F,12
209,2026-03-07,2026 Virus Weightlifting Series 1,17,Stars,94kg F,14:00:00,,16:00:00,220-225,M,11
210,2026-03-07,2026 Virus Weightlifting Series 1,17,Stripes,86kg & 77+kg F,14:00:00,,16:00:00,105-130,F,11
211,2026-03-07,2026 Virus Weightlifting Series 1,18,Red,69kg & 63+kg B,16:00:00,,18:00:00,184-195,F,11
212,2026-03-07,2026 Virus Weightlifting Series 1,18,White,88kg & 79+kg A,16:00:00,,18:00:00,285-334,M,12
213,2026-03-07,2026 Virus Weightlifting Series 1,18,Blue,77kg & 69+kg G,16:00:00,,18:00:00,135-140,F,12
214,2026-03-07,2026 Virus Weightlifting Series 1,18,Stars,94kg E,16:00:00,,18:00:00,225-230,M,11
