id,date,session_id,start_time,weigh_in_time,platform,weight_class,meet
222,2026-03-08,20,08:00:00,06:00:00,Stripes,94kg C,2026 VIRUS Weightlifting Series 1
223,2026-03-08,21,10:00:00,08:00:00,Red,86kg & 77+kg C,2026 VIRUS Weightlifting Series 1
224,2026-03-08,21,10:00:00,08:00:00,White,86+kg D,2026 VIRUS Weightlifting Series 1
225,2026-03-08,21,10:00:00,08:00:00,Blue,110+kg D,2026 VIRUS Weightlifting Series 1
226,2026-03-08,21,10:00:00,08:00:00,Stars,77kg & 69+kg D,2026 VIRUS Weightlifting Series 1
227,2026-03-08,21,10:00:00,08:00:00,Stripes,94kg B,2026 VIRUS Weightlifting Series 1
228,2026-03-08,22,12:00:00,10:00:00,Red,110kg & 94+kg C,2026 VIRUS Weightlifting Series 1
229,2026-03-08,22,12:00:00,10:00:00,White,86+kg C,2026 VIRUS Weightlifting Series 1
230,2026-03-08,22,12:00:00,10:00:00,Blue,110+kg C,2026 VIRUS Weightlifting Series 1
231,2026-03-08,22,12:00:00,10:00:00,Stars,77kg & 69+kg C,2026 VIRUS Weightlifting Series 1
232,2026-03-08,22,12:00:00,10:00:00,Stripes,94kg A,2026 VIRUS Weightlifting Series 1
233,2026-03-08,23,14:00:00,12:00:00,Red,110kg & 94+kg B,2026 VIRUS Weightlifting Series 1
234,2026-03-08,23,14:00:00,12:00:00,White,86+kg B,2026 VIRUS Weightlifting Series 1
235,2026-03-08,23,14:00:00,12:00:00,Blue,110+kg B,2026 VIRUS Weightlifting Series 1
236,2026-03-08,23,14:00:00,12:00:00,Stars,77kg & 69+kg B,2026 VIRUS Weightlifting Series 1
237,2026-03-08,23,14:00:00,12:00:00,Stripes,86kg & 77+kg B,2026 VIRUS Weightlifting Series 1
238,2026-03-08,24,16:00:00,14:00:00,Red,110kg & 94+kg A,2026 VIRUS Weightlifting Series 1
239,2026-03-08,24,16:00:00,14:00:00,White,86+kg A,2026 VIRUS Weightlifting Series 1
240,2026-03-08,24,16:00:00,14:00:00,Blue,110+kg A,2026 VIRUS Weightlifting Series 1
241,2026-03-08,24,16:00:00,14:00:00,Stars,77kg & 69+kg A,2026 VIRUS Weightlifting Series 1
242,2026-03-08,24,16:00:00,14:00:00,Stripes,86kg & 77+kg A,2026 VIRUS Weightlifting Series 1
