event_name,gender,age_category,weight_class,qualifying_total
Virus Series 2,Men,Masters 60,70kg,96
Virus Series 2,Men,Masters 60,75kg,99
Virus Series 2,Men,Masters 60,85kg,106
Virus Series 2,Men,Masters 60,95kg,114
Virus Series 2,Men,Masters 60,110kg,129
Virus Series 2,Men,Masters 60,110+kg,132
Virus Series 2,Men,Masters 65,60kg,78
Virus Series 2,Men,Masters 65,65kg,82
Virus Series 2,Men,Masters 65,70kg,83
Virus Series 2,Men,Masters 65,75kg,85
Virus Series 2,Men,Masters 65,85kg,92
Virus Series 2,Men,Masters 65,95kg,99
Virus Series 2,Men,Masters 65,110kg,113
Virus Series 2,Men,Masters 65,110+kg,116
Virus Series 2,Men,Masters 70,60kg,66
Virus Series 2,Men,Masters 70,65kg,69
Virus Series 2,Men,Masters 70,70kg,70
Virus Series 2,Men,Masters 70,75kg,73
Virus Series 2,Men,Masters 70,85kg,79
Virus Series 2,Men,Masters 70,95kg,85
Virus Series 2,Men,Masters 70,110kg,99
Virus Series 2,Men,Masters 70,110+kg,100
Virus Series 2,Men,Masters 75,60kg,57
Virus Series 2,Men,Masters 75,65kg,59
Virus Series 2,Men,Masters 75,70kg,60
Virus Series 2,Men,Masters 75,75kg,60
Virus Series 2,Men,Masters 75,85kg,65
Virus Series 2,Men,Masters 75,95kg,70
Virus Series 2,Men,Masters 75,110kg,82
Virus Series 2,Men,Masters 75,110+kg,84
Virus Series 2,Men,Masters 80,60kg,48
Virus Series 2,Men,Masters 80,65kg,48
Virus Series 2,Men,Masters 80,70kg,49
Virus Series 2,Men,Masters 80,75kg,50
Virus Series 2,Men,Masters 80,85kg,54
Virus Series 2,Men,Masters 80,95kg,58
Virus Series 2,Men,Masters 80,110kg,68
Virus Series 2,Men,Masters 80,110+kg,69
Virus Series 2,Men,Masters 85,60kg,35
Virus Series 2,Men,Masters 85,65kg,36
Virus Series 2,Men,Masters 85,70kg,37
Virus Series 2,Men,Masters 85,75kg,38
Virus Series 2,Men,Masters 85,85kg,41
Virus Series 2,Men,Masters 85,95kg,44
Virus Series 2,Men,Masters 85,110kg,53
Virus Series 2,Men,Masters 85,110+kg,54
Virus Series 2,Women,U11,30kg,30
Virus Series 2,Women,U11,33kg,33
Virus Series 2,Women,U11,37kg,37
Virus Series 2,Women,U11,41kg,41
Virus Series 2,Women,U11,45kg,45
Virus Series 2,Women,U11,49kg,49
Virus Series 2,Women,U11,53kg,53
Virus Series 2,Women,U11,57kg,57
Virus Series 2,Women,U11,61kg,61
Virus Series 2,Women,U11,61+kg,62
Virus Series 2,Women,U13,30kg,30
Virus Series 2,Women,U13,33kg,33
Virus Series 2,Women,U13,37kg,37
Virus Series 2,Women,U13,41kg,41
Virus Series 2,Women,U13,45kg,45
Virus Series 2,Women,U13,49kg,49
Virus Series 2,Women,U13,53kg,53
Virus Series 2,Women,U13,57kg,57
Virus Series 2,Women,U13,61kg,61
Virus Series 2,Women,U13,61+kg,62
Virus Series 2,Women,U15,41kg,55
Virus Series 2,Women,U15,45kg,58
Virus Series 2,Women,U15,49kg,60
Virus Series 2,Women,U15,53kg,63
Virus Series 2,Women,U15,57kg,68
Virus Series 2,Women,U15,61kg,69
Virus Series 2,Women,U15,69kg,74
Virus Series 2,Women,U15,77kg,77
Virus Series 2,Women,U15,77+kg,80
Virus Series 2,Women,U17,45kg,55
Virus Series 2,Women,U17,49kg,63
Virus Series 2,Women,U17,53kg,67
Virus Series 2,Women,U17,57kg,77
Virus Series 2,Women,U17,61kg,86
Virus Series 2,Women,U17,69kg,90
Virus Series 2,Women,U17,77kg,94
Virus Series 2,Women,U17,77+kg,97
Virus Series 2,Women,Junior,49kg,80
Virus Series 2,Women,Junior,53kg,91
Virus Series 2,Women,Junior,57kg,99
Virus Series 2,Women,Junior,61kg,102
Virus Series 2,Women,Junior,69kg,105
Virus Series 2,Women,Junior,77kg,112
Virus Series 2,Women,Junior,86kg,118
Virus Series 2,Women,Junior,86+kg,122
Virus Series 2,Women,Senior,49kg,87
